"ID","date","SID","comic_name","source","filemask","type","destination","path","filename"
1869,"0000-00-00 00:00:00",6,"Close to Home","Sunday_Comics/Close_to_Home/","cth%symd%qsc.tif","Sunday Color","/%dS%/","","cls%sW%qsc.tif"
1870,"0000-00-00 00:00:00",6,"Close to Home","Sunday_Comics/Close_to_Home/","cth%symd%qsl.tif","Sunday Color","/%dS%/","","cls%sW%qsl.tif"
1871,"0000-00-00 00:00:00",6,"Close to Home","Sunday_Comics/Close_to_Home/","cth%symd%tsc.tif","Sunday Color","/%dS%/","","cls%sW%tsc.tif"
1872,"0000-00-00 00:00:00",6,"Close to Home","Sunday_Comics/Close_to_Home/","cth%symd%tsl.tif","Sunday Color","/%dS%/","","cls%sW%tsl.tif"
257,"2009-08-25 14:40:57",6,"Close to Home Color","Reed_Brennan_color_dailies/","cl_c%symd%.tif","Daily Color","/%dmd%/","","c2homec.tif"
1185,"2010-11-01 16:09:51",6,"Close to Home Daily","Comic_Panels/Close_To_Home/","cl%symd%.tif","Daily B&W","/%dmd%/","","c2home.tif"
1321,"2010-05-11 16:40:08",6,"Color Me Posh","sunday_comics/color_me_posh","cmp%symd%.comb_qs.tif","Sunday Color","/%dS%/","","cmp%symd%_qs.tif"
1765,"2016-06-06 10:10:16",6,"Color Me Posh","sunday_comics/color_me_posh","cmp%symd%comb_ht.tif","Sunday Color","/%dS%/","","cmp%ds_ht.tif"
1766,"2016-06-06 10:18:47",6,"Color Me Posh","Sunday_Comics/color_me_posh","cmp%symd%tsk.tif","Sunday Color","/%dS%/","","cmp%symd%_tsk.tif"
1873,"0000-00-00 00:00:00",6,"Color Me Posh","Sunday_Comics/Color_Me_Posh/","cmp%symd%comb_ht.tif","Sunday Color","/%dS%/","","cmp%sW%comb_ht.tif"
1874,"0000-00-00 00:00:00",6,"Color Me Posh","Sunday_Comics/Color_Me_Posh/","cmp%symd%comb_qs.tif","Sunday Color","/%dS%/","","cmp%sW%comb_qs.tif"
1875,"0000-00-00 00:00:00",6,"Color Me Posh","Sunday_Comics/Color_Me_Posh/","cmp%symd%htc.tif","Sunday Color","/%dS%/","","cmp%sW%htc.tif"
1876,"0000-00-00 00:00:00",6,"Color Me Posh","Sunday_Comics/Color_Me_Posh/","cmp%symd%htl.tif","Sunday Color","/%dS%/","","cmp%sW%htl.tif"
1877,"0000-00-00 00:00:00",6,"Color Me Posh","Sunday_Comics/Color_Me_Posh/","cmp%symd%qsc.tif","Sunday Color","/%dS%/","","cmp%sW%qsc.tif"
1878,"0000-00-00 00:00:00",6,"Color Me Posh","Sunday_Comics/Color_Me_Posh/","cmp%symd%qsl.tif","Sunday Color","/%dS%/","","cmp%sW%qsl.tif"
1879,"0000-00-00 00:00:00",6,"Color Me Posh","Sunday_Comics/Color_Me_Posh/","cmp%symd%tsk.tif","Sunday Color","/%dS%/","","cmp%sW%tsk.tif"
1880,"0000-00-00 00:00:00",6,"Cornered","Sunday_Comics/Cornered_Sunday/","cos_c%symd%.tif","Sunday Color","/%dS%/","","cor_c%sW%.tif"
1881,"0000-00-00 00:00:00",6,"Cornered","Sunday_Comics/Cornered_Sunday/","cos_c%symd%.pdf","Sunday Color","/%dS%/","","cor_c%sW%.pdf"
1435,"2011-09-15 12:55:24",6,"Cornered B&W","Comic_Panels/Cornered/","co%symd%.tif","Daily B&W","/%dmd%/","","cornerednh.tif"
64,"2013-02-21 14:58:15",6,"Cornered Color","Comic_Panels/Cornered/","co_c%symd%.tif","Daily B&W","/%dmd%/","","corneredc.tif"
1457,"2011-09-26 16:39:35",6,"Cow and Boy Daily","UFS_Daily_Comics/Cow_and_Boy_Dailies/","cb%symd%.tif","Daily B&W","/%dmd%/","","cowboy.tif"
1882,"0000-00-00 00:00:00",6,"Deflocked","Sunday_Comics/Deflocked_Sundays/","dft%symd%comb_qs.tif","Sunday Color","/%dS%/","","def%sW%qscmyk.tif"
1883,"0000-00-00 00:00:00",6,"Deflocked","Sunday_Comics/Deflocked_Sundays/","dft%symd%comb_ts.tif","Sunday Color","/%dS%/","","def%sW%tscmyk.tif"
